ID,Culture,Substrate,Isotope,BD,Conc,R_MAX,Frac,Sequenced,col
CA12-24-01,Batch,Multi,C12,1.840705955,0.000250456,7.93E-05,1,N,white
CA12-24-02,Batch,Multi,C12,1.835478102,0.000244126,7.73E-05,2,N,white
CA12-24-03,Batch,Multi,C12,1.83009873,0.000272767,8.63E-05,3,N,white
CA12-24-04,Batch,Multi,C12,1.821745576,0.001099946,0.000348069,4,N,white
CA12-24-05,Batch,Multi,C12,1.815987408,0.001227184,0.000388333,5,N,white
CA12-24-06,Batch,Multi,C12,1.807066059,0.002608917,0.000825571,6,N,white
CA12-24-07,Batch,Multi,C12,1.797803794,0.045991938,0.01455378,7,Y,gray
CA12-24-08,Batch,Multi,C12,1.788200611,0.123516735,0.039085881,8,Y,gray
CA12-24-09,Batch,Multi,C12,1.778256512,1.133662242,0.358738335,9,Y,gray
CA12-24-10,Batch,Multi,C12,1.771437714,3.160136879,1,10,Y,gray
CA12-24-11,Batch,Multi,C12,1.764467398,0.324411372,0.10265738,11,Y,gray
CA12-24-12,Batch,Multi,C12,1.723422265,0.273665498,0.086599254,12,N,white
CA13-24-01,Batch,Multi,C13,1.838110968,0.00026015,0.000418327,1,N,white
CA13-24-02,Batch,Multi,C13,1.835478102,0.000289251,0.000465122,2,N,white
CA13-24-03,Batch,Multi,C13,1.83009873,0.000514555,0.000827417,3,N,white
CA13-24-04,Batch,Multi,C13,1.821745576,0.003977988,0.006396699,4,N,white
CA13-24-05,Batch,Multi,C13,1.813051505,0.048207237,0.077518393,5,Y,black
CA13-24-06,Batch,Multi,C13,1.807066059,0.158824811,0.255394103,6,Y,black
CA13-24-07,Batch,Multi,C13,1.797803794,0.235234446,0.378262627,7,Y,black
CA13-24-08,Batch,Multi,C13,1.788200611,0.621881279,1,8,Y,black
CA13-24-09,Batch,Multi,C13,1.778256512,0.032479029,0.052227056,9,Y,black
CA13-24-10,Batch,Multi,C13,1.771437714,0.457251241,0.735270954,10,Y,black
CA13-24-11,Batch,Multi,C13,1.764467398,0.18207653,0.292783424,11,Y,black
CA13-24-12,Batch,Multi,C13,1.711432665,0.020764468,0.033389762,12,N,white
GL12-24-01,Batch,Single,C12,1.840705955,0.000159187,3.96E-05,1,N,white
GL12-24-02,Batch,Single,C12,1.835478102,0.000086921,2.16E-05,2,N,white
GL12-24-03,Batch,Single,C12,1.83009873,0.000256679,6.39E-05,3,N,white
GL12-24-04,Batch,Single,C12,1.821745576,0.000466188,0.000116021,4,N,white
GL12-24-05,Batch,Single,C12,1.815987408,0.001421407,0.000353748,5,Y,gray
GL12-24-06,Batch,Single,C12,1.807066059,0.006006136,0.001494758,6,Y,gray
GL12-24-07,Batch,Single,C12,1.797803794,0.098949381,0.024625703,7,Y,gray
GL12-24-08,Batch,Single,C12,1.788200611,0.036797375,0.009157826,8,Y,gray
GL12-24-09,Batch,Single,C12,1.781609091,2.676818285,0.666184382,9,Y,gray
GL12-24-10,Batch,Single,C12,1.771437714,4.018134256,1,10,Y,gray
GL12-24-11,Batch,Single,C12,1.764467398,0.913906104,0.227445388,11,Y,gray
GL12-24-12,Batch,Single,C12,1.742647338,0.143225842,0.035644862,12,N,white
GL13-24-01,Batch,Single,C13,1.840705955,0.102528695,0.050502271,1,N,white
GL13-24-02,Batch,Single,C13,1.838110968,0.013184225,0.006494117,2,N,white
GL13-24-03,Batch,Single,C13,1.83009873,0.053758384,0.026479616,3,N,white
GL13-24-04,Batch,Single,C13,1.821745576,0.220568403,0.108644759,4,Y,black
GL13-24-05,Batch,Single,C13,1.815987408,1.08357187,0.533731951,5,Y,black
GL13-24-06,Batch,Single,C13,1.807066059,2.030179884,1,6,Y,black
GL13-24-07,Batch,Single,C13,1.797803794,1.212717394,0.597344799,7,Y,black
GL13-24-08,Batch,Single,C13,1.788200611,0.633446752,0.312015087,8,Y,black
GL13-24-09,Batch,Single,C13,1.778256512,0.225075015,0.110864567,9,Y,black
GL13-24-10,Batch,Single,C13,1.767971496,0.508170475,0.250308103,10,Y,black
GL13-24-11,Batch,Single,C13,1.760925421,0.26297277,0.129531758,11,Y,black
GL13-24-12,Batch,Single,C13,1.742647338,0.055201352,0.027190375,12,N,white
MCP_5MC201,Chemostat,Multi,C12,1.838110968,0.009540433,0.000278753,1,N,white
MCP_5MC202,Chemostat,Multi,C12,1.835478102,0.016437891,0.000480283,2,N,white
MCP_5MC203,Chemostat,Multi,C12,1.83009873,0.006669763,0.000194877,3,N,white
MCP_5MC204,Chemostat,Multi,C12,1.827352225,0.00855816,0.000250052,4,N,white
MCP_5MC205,Chemostat,Multi,C12,1.818885432,0.01766364,0.000516097,5,N,white
MCP_5MC206,Chemostat,Multi,C12,1.813,0.015306124,0,6,Y,gray
MCP_5MC207,Chemostat,Multi,C12,1.807,0.04255253,0.001,7,Y,gray
MCP_5MC208,Chemostat,Multi,C12,1.801,0.122660985,0.004,8,Y,gray
MCP_5MC209,Chemostat,Multi,C12,1.795,0.291412471,0.009,9,Y,gray
MCP_5MC210,Chemostat,Multi,C12,1.785,1.472472237,0.043,10,Y,gray
MCP_5MC211,Chemostat,Multi,C12,1.778,4.114439566,0.12,11,Y,gray
MCP_5MC212,Chemostat,Multi,C12,1.775,16.82228844,0.492,12,Y,gray
MCP_5MC213,Chemostat,Multi,C12,1.764,34.22545419,1,13,Y,gray
MCP_5MC214,Chemostat,Multi,C12,1.757,12.32844028,0.36,14,Y,gray
MCP_5MC215,Chemostat,Multi,C12,1.746,11.80603133,0.345,15,Y,gray
MCP_9MC201,Chemostat,Multi,C13,1.824567841,0.024365411,0.001124837,1,N,white
MCP_9MC202,Chemostat,Multi,C13,1.821745576,0.021935231,0.001012647,2,N,white
MCP_9MC203,Chemostat,Multi,C13,1.819,0.035788541,0.002,3,Y,black
MCP_9MC204,Chemostat,Multi,C13,1.813,0.050938614,0.002,4,Y,black
MCP_9MC205,Chemostat,Multi,C13,1.807,0.199554975,0.009,5,Y,black
MCP_9MC206,Chemostat,Multi,C13,1.801,0.765505419,0.035,6,Y,black
MCP_9MC207,Chemostat,Multi,C13,1.795,3.119713867,0.144,7,Y,black
MCP_9MC208,Chemostat,Multi,C13,1.785,9.440357058,0.436,8,Y,black
MCP_9MC209,Chemostat,Multi,C13,1.778,21.66128286,1,9,Y,black
MCP_9MC210,Chemostat,Multi,C13,1.771,12.27143915,0.567,10,Y,black
MCP_9MC211,Chemostat,Multi,C13,1.764,15.27202921,0.705,11,Y,black
MCP_9MC212,Chemostat,Multi,C13,1.757,5.241272928,0.242,12,Y,black
MCP_9MC213,Chemostat,Multi,C13,1.75,1.442205206,0.067,13,Y,black
MCP_9MC214,Chemostat,Multi,C13,1.739,0.787074769,0.036,14,Y,black
MCP_9MC215,Chemostat,Multi,C13,1.731,0.489449377,0.023,15,Y,black
