"","Domain","Phylum","Class","Order","Family","Genus","Species","Strain"
"0e4971b9fdfe3044222a19f5b7f167dc","Bacteria","Actinobacteria","Actinobacteria","PeM15","uncultured bacterium","uncultured bacterium","uncultured bacterium","0e4971b9fdfe3044222a19f5b7f167dc"
"d2af52fc6f48ab4d05c96dad9527d8a2","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","","","d2af52fc6f48ab4d05c96dad9527d8a2"
"9cfa52be027c8fa57d197b21dd7a958c","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade","uncultured bacterium","9cfa52be027c8fa57d197b21dd7a958c"
"6b94959874b693c3304e68c57cefd287","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Ambiguous_taxa","","6b94959874b693c3304e68c57cefd287"
"a51911fb468aee7787ca8edf2ad66641","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","","","a51911fb468aee7787ca8edf2ad66641"
"6267512d7ea98a0da430e5a6f96698e6","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","","","6267512d7ea98a0da430e5a6f96698e6"
"29731c1ae123c2faa2b4184d96385388","Bacteria","Actinobacteria","Actinobacteria","PeM15","","","","29731c1ae123c2faa2b4184d96385388"
"afc0eeec83a181be740331928d883362","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group","","afc0eeec83a181be740331928d883362"
"7580ff42ec296410fd9b751933c26164","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group","","7580ff42ec296410fd9b751933c26164"
"fecd0294f7ecdb7bc5c54d01e9f541f0","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","","","fecd0294f7ecdb7bc5c54d01e9f541f0"
"8b1b6b50ee8e9d52ac980948823b441f","Bacteria","Bacteroidetes","Rhodothermia","Balneolales","Balneolaceae","uncultured bacterium","uncultured bacterium","8b1b6b50ee8e9d52ac980948823b441f"
"4964f339e90a20437a19d7ec3bcd8a1a","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","","4964f339e90a20437a19d7ec3bcd8a1a"
"fb800d4d7cd0a8e0da07b414fcf21b8c","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus","uncultured Hongiella sp.","fb800d4d7cd0a8e0da07b414fcf21b8c"
"d4cc0a095dd016823ef8c5ad567c91fd","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","","d4cc0a095dd016823ef8c5ad567c91fd"
"0b06017e8169c7ce93b22574992470dc","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","","0b06017e8169c7ce93b22574992470dc"
"4d65f65496c3d0238ebf74738245e526","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","","4d65f65496c3d0238ebf74738245e526"
"9c886d46813a724862c055b0ed46e86d","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS3a marine group","marine metagenome","9c886d46813a724862c055b0ed46e86d"
"55ce73379b753a6d229a4febc0b1362d","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","","","55ce73379b753a6d229a4febc0b1362d"
"9ac9a274b64edbcb2b5e1e1c81743b51","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","9ac9a274b64edbcb2b5e1e1c81743b51"
"e6c8443214bca5d5809bbb0c5644af52","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","e6c8443214bca5d5809bbb0c5644af52"
"68262884f1021c896f8e1bf7348d773c","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","68262884f1021c896f8e1bf7348d773c"
"e177a451db2600efdeb8bde47ef88671","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","e177a451db2600efdeb8bde47ef88671"
"710dab4db94586d934436dc307f766c9","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","710dab4db94586d934436dc307f766c9"
"e4278f7eb9e1d1595866d1c4440c78c9","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","e4278f7eb9e1d1595866d1c4440c78c9"
"4744c03db226d903293f9342f292e94d","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","","4744c03db226d903293f9342f292e94d"
"11b50e80047289f589868d85531954f4","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","","11b50e80047289f589868d85531954f4"
"c9eeb9179e405b1fd7846a8aefb864d1","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens","Ambiguous_taxa","c9eeb9179e405b1fd7846a8aefb864d1"
"d56e5ac31cfe9e5dea7d4a63d13f1232","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","","","","d56e5ac31cfe9e5dea7d4a63d13f1232"
"282d970c7e74112691085e63921dbcfd","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","","282d970c7e74112691085e63921dbcfd"
"123fa4546d88beaa1017c112c3c600cc","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","","123fa4546d88beaa1017c112c3c600cc"
"8215c539c392e8fc631e1d5cddeac7da","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","metagenome","8215c539c392e8fc631e1d5cddeac7da"
"ffd660f96ba6668b2d8d86fc4e150862","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS 17","","","ffd660f96ba6668b2d8d86fc4e150862"
"4800a9c596272fb238a316d893b0871e","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group","","","4800a9c596272fb238a316d893b0871e"
"cfb98993000a7864ecd250723d57b8db","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group","","","cfb98993000a7864ecd250723d57b8db"
"63413adbe8227f80412e824dffac1f5a","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","","","","63413adbe8227f80412e824dffac1f5a"
"d5b23bb0b75b67df5ecd5ad44760b312","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured Sphingobacteriales bacterium","d5b23bb0b75b67df5ecd5ad44760b312"
"211b7bfb480d7e0ba8224a99279d1055","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Candidatus Aquirestis","","211b7bfb480d7e0ba8224a99279d1055"
"dc3835d12dc9edc210bddff9c66bf356","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Candidatus Aquirestis","","dc3835d12dc9edc210bddff9c66bf356"
"2b4e6ccd11a78681bceaffed2053907f","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured Bacteroidetes/Chlorobi group bacterium","2b4e6ccd11a78681bceaffed2053907f"
"f1e34308d952529287ada31976faec95","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","OLB12","","f1e34308d952529287ada31976faec95"
"5aad5881139a653bc5964f1d88d7aaee","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter","","5aad5881139a653bc5964f1d88d7aaee"
"eb2625c1474f98f554b002fcd5d1088e","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Flectobacillus","","eb2625c1474f98f554b002fcd5d1088e"
"34327ad682b105ca4607c44af24c5dd2","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","","","34327ad682b105ca4607c44af24c5dd2"
"3fc227a79c6a108319409a05f87103f3","Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured","uncultured Cytophaga sp.","3fc227a79c6a108319409a05f87103f3"
"36dae39c87c9e05e2a808f08e5b671ce","Bacteria","Planctomycetes","vadinHA49","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","36dae39c87c9e05e2a808f08e5b671ce"
"6a679587c40215f64acb6b0231b57581","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","uncultured","","6a679587c40215f64acb6b0231b57581"
"92c0c75c6858840cbc21744f047e2a02","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured organism","92c0c75c6858840cbc21744f047e2a02"
"177d2176a3368f43cc132f9e34a9405c","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured","","177d2176a3368f43cc132f9e34a9405c"
