"","OTU","Wlab","Wlight","Z","Gi","Mlight","Mheavymax","Mlab","A","A_CI_low","A_CI_high","Incorporator","CM_control","CM_treatment","delta_BD","Culture","Substrate","copy_number","id","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","00feb692689d706370ba89503e9ae97e",1.76255506471446,1.76347740108288,-0.000922336368419208,1.4061313089225,308.388441129226,317.661727792563,308.22714738388,-0.0172000933230388,-0.0172000933230388,-0.0172000933230388,FALSE,1.78135537444492,1.77714043630272,-0.00421493814220364,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","metagenome"
"2","02dd75f976cd05e6517f3d4da0a1a415",1.76181206156995,1.76111117414498,0.000700887424971208,1.37779529788259,308.37438646775,317.661805098868,308.497113376097,0.0130674766866945,0.0130674766866945,0.0130674766866945,TRUE,1.77205223760313,1.7507136537793,-0.02133858382383,"Chemostat","Multi",3,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","",""
"3","06eb32e29df10778b60c49356ef3b5e0",1.76995148840289,1.77905782605606,-0.00910633765316904,1.59270981792996,308.480984069693,317.661218769075,306.901984242156,-0.1700886209901,-0.1700886209901,-0.1700886209901,FALSE,1.79254366063076,1.77268086113843,-0.0198627994923313,"Batch","Single",3,"batch_glu","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","[Caedibacter] taeniospiralis group",""
"4","07eb166d091e1aebe641105881f4f2d3",1.76907502849364,1.76484772539254,0.00422730310109154,1.42254119934548,308.396580434875,317.6616830231,309.135276358654,0.078842871295655,0.078842871295655,0.078842871295655,TRUE,1.78052296716351,1.76471516596132,-0.0158078012021932,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Zoogloea",""
"5","0893f5bbbc8d21217aa590338706fe49",1.76323466841042,1.78780528233715,-0.0245706139267274,1.69746224627154,308.532941274151,317.6609329835,304.292633977478,-0.459376797899173,-0.459376797899173,-0.459376797899173,FALSE,1.79328298038984,1.75211643590171,-0.0411665444881346,"Chemostat","Multi",1,"chemo_carb","Bacteria","Planctomycetes","OM190","","","",""
"6","0ae5531a9802e71139c959faebdde10c",1.769419818423,1.76458012432574,0.00483969409725615,1.41933662641893,308.394990966704,317.661691765816,309.240822446289,0.0902621482221298,0.0902621482221298,0.0902621482221298,TRUE,1.77639226533255,1.75833842650015,-0.0180538388324045,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",""
"7","0b06017e8169c7ce93b22574992470dc",1.79678763771413,1.77386331291021,0.022924324803919,1.53050454949602,308.45013025655,317.661388477488,312.436351134083,0.427946387034131,0.427946387034131,0.427946387034131,TRUE,1.78523726843794,1.79074209959669,0.00550483115875755,"Batch","Single",2,"batch_glu","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured",""
"8","0b06017e8169c7ce93b22574992470dc",1.7873914301786,1.7738173833281,0.0135740468504981,1.52995453414247,308.449857448935,317.66138997804,310.810254215475,0.253396191281397,0.253396191281397,0.253396191281397,TRUE,1.78323856917476,1.78839280954793,0.00515424037317436,"Batch","Multi",2,"batch_carb","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured",""
"9","0e4971b9fdfe3044222a19f5b7f167dc",1.78529746478924,1.7757365241488,0.00956094064044177,1.55293660513977,308.461256556149,317.661327278354,310.122077136062,0.178516561790587,0.178516561790587,0.178516561790587,TRUE,1.7762839437008,1.78252026590545,0.00623632220465398,"Batch","Single",3,"batch_glu","Bacteria","Actinobacteria","Actinobacteria","PeM15","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"10","0e4971b9fdfe3044222a19f5b7f167dc",1.79163575327394,1.77356837458432,0.0180673786896175,1.52697260776852,308.448378413453,317.661398113331,311.590548593557,0.337267633128748,0.337267633128748,0.337267633128748,TRUE,1.7823271351431,1.79362912499566,0.0113019898525539,"Batch","Multi",3,"batch_carb","Bacteria","Actinobacteria","Actinobacteria","PeM15","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"11","101ab1c0cf819a3e48e09b3356bb6f3d",1.75220152906458,1.74880341544436,0.00339811362021347,1.23040758082489,308.301282160089,317.662207202038,308.90034479731,0.0632849481061913,0.0632849481061913,0.0632849481061913,TRUE,1.77061717699414,1.7460973779336,-0.0245197990605364,"Chemostat","Multi",1,"chemo_carb","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Ambiguous_taxa","Ambiguous_taxa"
"12","1083eb67a7140dca982f34e3968117a3",1.76705111255785,1.76315197663489,0.0038991359229561,1.40223429016948,308.386508207924,317.66173842441,309.068491909978,0.0727103541756847,0.0727103541756847,0.0727103541756847,TRUE,1.7879692730081,1.75815880142366,-0.0298104715844485,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum",""
"13","11b50e80047289f589868d85531954f4",1.7920166256022,1.78252946309517,0.00948716250703385,1.63428332209865,308.501604527761,317.661105348241,310.143543646542,0.17726875964929,0.17726875964929,0.17726875964929,TRUE,1.79604617229866,1.78348970956583,-0.0125564627328256,"Batch","Single",3,"batch_glu","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",""
"14","11b50e80047289f589868d85531954f4",1.79103003342131,1.77382072655609,0.0172093068652157,1.52999456992422,308.449877306682,317.661389868814,311.442405532133,0.321258234661779,0.321258234661779,0.321258234661779,TRUE,1.7848673781307,1.7929524642452,0.00808508611449299,"Batch","Multi",3,"batch_carb","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",""
"15","123fa4546d88beaa1017c112c3c600cc",1.78610855791754,1.77028288560129,0.0158256723162526,1.48762826145772,308.428863617683,317.661505452577,311.186103247681,0.295321785692559,0.295321785692559,0.295321785692559,TRUE,1.78474941997966,1.78269159730046,-0.00205782267919985,"Batch","Single",1,"batch_glu","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",""
