Feature ID	Taxon	Confidence
1083eb67a7140dca982f34e3968117a3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Magnetospirillum	0.953715805
9ac9a274b64edbcb2b5e1e1c81743b51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.999565953
4744c03db226d903293f9342f292e94d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__UBA952 sp016866255	0.989531826
21bdb6c8cb7ed339792d39838ea86d08	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__DSM-16500;f__DSM-16500;g__Aquicella_A;s__Aquicella_A siphonis	0.81558682
fb2dab56bf8047ade734c2fceccb49e4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__IMCC9063	0.999316138
d295b9a63b6148b9f4663819da1c914b	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__Rubrivivax rivuli	0.811216546
dc3835d12dc9edc210bddff9c66bf356	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__BJGN01;s__BJGN01 sp945878825	0.729607348
ae88f77525a7096df7c0d9c6ede9f846	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter	0.997337093
7c338eeece15edbfcf8ed52c568f6fc2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Azotimanducaceae_A;g__UBA4582	0.839591748
1c2b8892a0d7f828d72808cd01cfd199	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales	0.998482285
6a679587c40215f64acb6b0231b57581	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01	0.999995762
68262884f1021c896f8e1bf7348d773c	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.999414569
7ebbb1e6f79a2910951c191a4bf1df66	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Methyloversatilis	0.863820683
be9d6317e49313c0a8885815491ce6f0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.779954732
65a75a16ddf0882daec9e72eea3aa180	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Nevskia;s__Nevskia sp013823855	0.838580824
d5b23bb0b75b67df5ecd5ad44760b312	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae	0.837022947
fd3acdbb6eaf9e3669c9f303a6fa0b28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera	0.930164273
c1d9eada909d2d5dbe078f25f1038508	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__Rubrivivax rivuli	0.95584773
e739dae8872120bd9c58ff3f4afc28b3	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Pseudobdellovibrio;s__Pseudobdellovibrio sp022843825	0.999872692
af27577de5edb10c09f7fc19b9ca45ca	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.733056453
d56e5ac31cfe9e5dea7d4a63d13f1232	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__UA16 sp002420235	0.729638923
304d1a8fe851969c2eb82c85f9f88c11	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.955580268
8b2494a11c2f75ef0302082e2b542682	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.835205282
123fa4546d88beaa1017c112c3c600cc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium ginsengisoli_E	0.922584143
9c886d46813a724862c055b0ed46e86d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp030726725	0.99993332
3c8a9630951999d2b809868618b05848	d__Bacteria;p__Pseudomonadota	0.999845907
b396df71ff4bad780a6862032851bce5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__SHVZ01;f__SHVZ01;g__SHVZ01;s__SHVZ01 sp945897335	0.979434036
ffd660f96ba6668b2d8d86fc4e150862	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__UBA4416 sp025359355	0.959334251
710dab4db94586d934436dc307f766c9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.998103977
740d9b2ea5713119fec5849936b9128b	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Ferrovibrio	0.999958783
7580ff42ec296410fd9b751933c26164	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8;s__Casp-actino8 sp947454105	0.703832275
acc9603a819dc23a606ac6c1b9105b6d	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	0.707006866
c56ae4705fd5cf31ed0b25fa86e22ed6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.815026187
a60f0b4bc20e5a162b45b3d2ed7a0d6c	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter	0.999259811
76a2e443105acc53d3461f176f38148c	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio	0.99596802
afc0eeec83a181be740331928d883362	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8;s__Casp-actino8 sp009923785	0.96002524
92c0c75c6858840cbc21744f047e2a02	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Aureliella;s__Aureliella helgolandensis	0.736504804
98f53519513214e968c569829a1471bb	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium	0.725045693
3bb0bf5132b0f988573de9bd6059b22c	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.985786109
7dd273cfe05a5c5e224f299f760201cf	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.989192212
6267512d7ea98a0da430e5a6f96698e6	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila	0.999937078
e416d0916760d2fc17b616e2ac3ad855	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	0.999623978
d4cc0a095dd016823ef8c5ad567c91fd	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__CAMDTE01;s__CAMDTE01 sp945907425	0.96096395
8735f92a7f18db944bc862777fbd3222	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.999124752
801efb14d6457f799fd2becee6d07b72	d__Bacteria;p__Pseudomonadota	0.878411821
9e26dc7c6642e4bf724f8d376d56a973	d__Bacteria;p__Pseudomonadota	0.725670961
63413adbe8227f80412e824dffac1f5a	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.709301949
55ce73379b753a6d229a4febc0b1362d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__Polaribacter sp001873065	0.956903351
7beab4f249af89a8aab102a03113ba62	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum	0.998750255
9255e939f667b42a03cb99246b86cb32	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.779239842
ca2b23c1b70c9034ea6412255f88eb7f	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__Bacteriovorax stolpii	0.878024141
9100c673ddb0128f63023d0c6d423792	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2463;s__UBA2463 sp018402635	0.984357677
9c54c522a386d5ed75686001dae803d9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.881666292
cf3381318906e1e08f58bca905636dc0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium	0.974835245
