#Feature ID,Domain,Phylum ,Class,Order,Family,Genus,Species,Strain
67dab9714532e2e5809db3032111ff86,Bacteria,,,,,,,67dab9714532e2e5809db3032111ff86
9a94cd99177104efc462eaf65beb77ed,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,,9a94cd99177104efc462eaf65beb77ed
0f23448b4d1855ee46a6e276074959bb,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,0f23448b4d1855ee46a6e276074959bb
d007b1413572cc8ba7cd74d1b9b76586,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,,,,d007b1413572cc8ba7cd74d1b9b76586
5251f7163f625654bf50cecebf7cc201,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,uncultured marine bacterium,5251f7163f625654bf50cecebf7cc201
0c579d21280801f02a641e1608606927,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,,0c579d21280801f02a641e1608606927
99e5a1f89bd0985c7232e7288b0bbb0c,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,99e5a1f89bd0985c7232e7288b0bbb0c
53abb4be9539ab7a4ccca1f296dda429,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,uncultured,uncultured deep-sea bacterium,53abb4be9539ab7a4ccca1f296dda429
1083eb67a7140dca982f34e3968117a3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Magnetospirillum,,1083eb67a7140dca982f34e3968117a3
347716bb5136891ef74d6eb5d119e41a,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured bacterium,347716bb5136891ef74d6eb5d119e41a
0f46c35d6629feaffa5e8f4b256e255b,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS3a marine group,,0f46c35d6629feaffa5e8f4b256e255b
5baf6c8c6c5e4668663a09bc7f34981e,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,5baf6c8c6c5e4668663a09bc7f34981e
d70adaf7d3d98a3004a9dcf45f734e64,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,,,d70adaf7d3d98a3004a9dcf45f734e64
14ae0a6734d52b15fc7bc7bc36fd0b23,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,,,14ae0a6734d52b15fc7bc7bc36fd0b23
9ac9a274b64edbcb2b5e1e1c81743b51,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,9ac9a274b64edbcb2b5e1e1c81743b51
b52a1d535f1a655d029813af70ec7171,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,A7P-90m,,b52a1d535f1a655d029813af70ec7171
90a53232ada4a128768b604abf3f647d,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Motilimonas,uncultured bacterium,90a53232ada4a128768b604abf3f647d
615cba9e858aae01c17dbb9ecec01937,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,,615cba9e858aae01c17dbb9ecec01937
2dd9a81f0dd4c6bac998196fce1c914a,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,uncultured,uncultured bacterium,2dd9a81f0dd4c6bac998196fce1c914a
f109244f34c41057dc6b66288e78853c,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,,,f109244f34c41057dc6b66288e78853c
373b841ae26b5cc50d1d1cac81dcce81,Bacteria,Bacteroidetes,Bacteroidia,,,,,373b841ae26b5cc50d1d1cac81dcce81
4c321b0d373d74c894fd1f599dad37dc,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,,4c321b0d373d74c894fd1f599dad37dc
495722f0652fb36c290052e0f63433f0,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum,alpha proteobacterium BAL199,495722f0652fb36c290052e0f63433f0
71cf85af46b35d9b9f81421110d1804e,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,,,71cf85af46b35d9b9f81421110d1804e
f5c63186fca7e9ba232b58a81b1dda90,Bacteria,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,,f5c63186fca7e9ba232b58a81b1dda90
