,genus,Mean_Score
1,g__0-14-0-10-38-17,0.916826792
2,g__0-14-0-20-30-16,1.765081038
3,g__0-14-0-20-34-12,1.949284558
4,g__0-14-0-20-40-13,1.290983629
5,g__0-14-0-20-44-26,1.69488568
6,g__0-14-0-20-45-22,2.142900426
7,g__0-14-0-20-51-18,2.133196244
8,g__0-14-0-80-44-23,1.809728323
9,g__0-14-0-80-59-12,2.101559884
10,g__0-14-0-80-60-11,2.672995898
11,g__0-14-3-00-41-53,2.37899147
12,g__0-14-3-00-62-12,3.365461142
13,g__01-FULL-36-10b,1.662261236
14,g__01-FULL-36-15b,1.284690777
15,g__01-FULL-38-12b,1.792148441
16,g__01-FULL-39-12b,1.613602715
17,g__01-FULL-43-11b,1.363588083
18,g__01-FULL-43-15b,1.197663213
19,g__01-FULL-44-24b,1.561670148
20,g__01-FULL-45-10b,1.67994116
21,g__01-FULL-45-15b,1.894417193
22,g__01-FULL-45-25b,1.561036311
23,g__01-FULL-45-34b,1.544585803
24,g__01-FULL-48-32b,1.088644305
25,g__01-FULL-49-22b,1.785339374
26,g__01-FULL-54-110,1.500596998
27,g__02-FULL-45-10c,1.664496029
28,g__02-FULL-45-11b,1.453494064
29,g__02-FULL-45-17b,1.58191853
30,g__1-14-0-10-31-34,2.018435553
31,g__1-14-0-10-32-24,1.966914342
32,g__1-14-0-10-34-10,0.878529234
33,g__1-14-0-10-34-76,1.730576302
34,g__1-14-0-10-36-11,1.040951029
35,g__1-14-0-10-36-16,1.549588183
36,g__1-14-0-10-36-19,2.09325468
37,g__1-14-0-10-36-32,1.499331047
38,g__1-14-0-10-37-12,2.877146716
39,g__1-14-0-10-37-14,1.711001513
40,g__1-14-0-10-40-38,1.445434083
41,g__1-14-0-10-41-10,1.479583112
42,g__1-14-0-10-41-12,1.37520922
43,g__1-14-0-10-41-28,1.705231231
44,g__1-14-0-10-42-12,2.082442363
45,g__1-14-0-10-42-19,1.577853224
46,g__1-14-0-10-42-22,1.784762521
47,g__1-14-0-10-43-10,1.351233403
48,g__1-14-0-10-43-11,1.394092375
49,g__1-14-0-10-43-13,1.594620463
50,g__1-14-0-10-43-42,1.583682179
51,g__1-14-0-10-44-13,1.888251013
52,g__1-14-0-10-44-23,1.778199072
53,g__1-14-0-10-45-20,1.980343387
54,g__1-14-0-10-45-29,2.145451709
55,g__1-14-0-10-45-34,2.902931271
56,g__1-14-0-10-46-23,1.386776514
57,g__1-14-0-10-46-36,1.623403221
58,g__1-14-0-10-47-10,1.632401468
59,g__1-14-0-10-47-16,1.978936378
60,g__1-14-0-10-48-11,1.555950191
61,g__1-14-0-10-49-15,1.881162692
62,g__1-14-0-10-49-17,1.800847029
63,g__1-14-0-10-51-16,1.806403134
64,g__1-14-0-10-55-24,1.655073414
65,g__1-14-0-10-56-10,1.106213451
66,g__1-14-0-20-35-14,1.346975387
67,g__1-14-0-20-39-34,2.065584055
68,g__1-14-0-20-39-49,2.904039305
69,g__1-14-0-20-42-23,2.534639311
70,g__1-14-0-20-45-16,2.636167698
71,g__1-14-0-20-46-22,2.509968249
72,g__1-14-0-20-47-16,2.517561672
73,g__1-14-0-20-49-13,2.435341039
74,g__1-14-0-20-64-10,1.706199451
75,g__1-14-0-65-60-17,2.816402372
76,g__1-14-2-50-31-20,2.781708076
77,g__1-14-2-50-48-13,2.773151146
78,g__1-19,5.368972958
79,g__1109,2.617477782
80,g__1162T-S-0a-05,3.230491705
81,g__12-FULL-43-12b,1.617944593
82,g__12-FULL-44-12b,1.571824461
83,g__12-FULL-45-19b,1.462453965
84,g__12-FULL-67-14b,3.128848129
85,g__12844,2.701603291
86,g__13-1-40CM-64-14,2.211533179
87,g__13-1-40CM-70-15,2.421677167
88,g__13-2-20CM-66-19,2.744470642
89,g__13-2-20CM-68-14,2.485153044
90,g__14-2,3.291808602
91,g__16-39-46,2.340474266
92,g__17J80-11,3.577195815
93,g__188UL27-1,3.739568248
94,g__18H4-34,2.805223881
95,g__1XD8-76,3.643349906
96,g__2-01-FULL-33-17,2.298327545
97,g__2-01-FULL-36-15,1.424738185
98,g__2-01-FULL-37-20,1.24794438
99,g__2-01-FULL-38-13,1.504379369
100,g__2-01-FULL-38-21,1.611655984
101,g__2-01-FULL-38-26,1.157574253
102,g__2-01-FULL-39-10,1.485626221
103,g__2-01-FULL-39-10-A,1.678028957
104,g__2-01-FULL-39-12,2.081580717
105,g__2-01-FULL-39-13,1.704119329
106,g__2-01-FULL-39-19,1.562723698
107,g__2-01-FULL-39-21,1.046312465
108,g__2-01-FULL-39-24,1.475994131
109,g__2-01-FULL-39-28,1.671615919
110,g__2-01-FULL-39-33,1.372215716
111,g__2-01-FULL-40-13,1.505266577
112,g__2-01-FULL-40-14,1.57373745
113,g__2-01-FULL-40-24,1.663486377
114,g__2-01-FULL-40-39,1.783409175
115,g__2-01-FULL-40-42,1.44203749
116,g__2-01-FULL-41-11,1.56214225
117,g__2-01-FULL-41-12,1.572536669
118,g__2-01-FULL-41-14,1.947552664
119,g__2-01-FULL-41-18,1.444767596
120,g__2-01-FULL-41-18-A,1.326496489
121,g__2-01-FULL-41-21,1.53283828
122,g__2-01-FULL-41-22,1.504567539
123,g__2-01-FULL-41-26,1.477244593
124,g__2-01-FULL-42-13,1.07719449
125,g__2-01-FULL-42-15,1.394803869
126,g__2-01-FULL-42-20,1.509406365
